user_id,item_id,rating,item_name,item_description,reference_image
1,1001,5,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGlGIJTQWVnmB230PGmR6zfxNdUgzoFd7NMTQhs1f5cQ&s
1,1002,4,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
1,1003,1,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,https://purepng.com/public/uploads/large/purepng.com-jack-leather-oxblood-jacketgarmentupper-bodyjacketlightertighter-fittingoxbloodleatherjack-1421526361256tfhnh.png
1,1004,3,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0bO-DZG3f-9voKAk1jIhgqYsU0dfJHKihwUt3vvM_vw&s
1,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,https://img.freepik.com/free-psd/psd-white-hoodie-mockup_1409-3751.jpg?size=626&ext=jpg&ga=GA1.1.469953785.1712042959&semt=ais
1,1006,5,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,https://w7.pngwing.com/pngs/492/627/png-transparent-trousers-khaki-chino-cloth-clothing-mens-pant-s-fashion-tactical-pants-cargo-pants-thumbnail.png
2,1001,3,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
2,1002,,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
2,1003,5,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
2,1004,2,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
2,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
2,1006,,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
3,1001,,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
3,1002,4,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
3,1003,2,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
3,1004,1,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
3,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
3,1006,,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
4,1001,5,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
4,1002,4,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
4,1003,,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
4,1004,4,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
4,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
4,1006,,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
5,1001,3,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
5,1002,4,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
5,1003,5,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
5,1004,3,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
5,1005,5,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
5,1006,4,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
6,1001,5,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
6,1002,3,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
6,1003,2,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
6,1004,,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
6,1005,4,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
6,1006,2,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
7,1001,5,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
7,1002,4,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
7,1003,5,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
7,1004,3,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
7,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
7,1006,5,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
8,1001,4,Mens's Denim Jeans,Classic denim jeans with a modern slim fit,
8,1002,2,Men's Polo Shirt,Comfortable cotton polo shirt with a stylish design ,
8,1003,5,Men's Leather Jacket ,Genuine leather jacket with a rugged vintage look ,
8,1004,4,Mens's Dress Shoes,Elegant leather dress shoes for formal occasions ,
8,1005,,Men's Hoodie,Warm and cozy hoodie perfect for casual outings,
8,1006,3,Men's Chinos,Versatile chinos made from lightweight cotton fabric ,
